Nome;Cenario;Capacidade;Garantia Física;CAPEX; Investimento;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24
MARANHAO BAI;1;125,0;72,46686806;177635932,4;1.0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;116,99483;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11
MIRADOR;1;80,0;58,72611651;116152423,4;1.0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;9,23;9,6132092;48,329543;48,329543;48,329543;48,329543;9,23;9,23;10,475874;48,329543
P GALEANO;1;81,0;56,15881019;94302762,1;1.0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;40,011445;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48
PARANA;1;90,0;45,73173688;126877965,0;1.0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;8,02;8,02;90,0;90,0;11,321685;90,0;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02
PORTEIRAS 2;1;86,0;52,14554475;199241144,9;0.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SANTO ANTÔNIO;1;84,3;45,88727315;89522060,07;1.0;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;2,82;84,3;58,674556;84,3;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82
SAUDADE;1;61,4;36,55446991;84526158,37;1.0;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;56,307278;61,4;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28
TABAJARA;1;400,0;244,3388665;571477359,7;1.0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;196,3328;400,0;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78
ITAOCARA I;1;150,0;93,00125084;171503406,6;1.0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;29,44;150,0;150,0;150,0;108,19002;150,0;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44
TELEM BORBA;1;118,0;78,91051235;136925659,6;1.0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;47,769543;8,67;8,67;8,67;8,67;8,67;47,769543;47,769543;46,523669;8,67
