Nome;Cenario;Capacidade;Garantia Física;CAPEX; Investimento;G_periodo1;G_periodo2;G_periodo3;G_periodo4;G_periodo5;G_periodo6;G_periodo7;G_periodo8;G_periodo9;G_periodo10;G_periodo11;G_periodo12;G_periodo13;G_periodo14;G_periodo15;G_periodo16;G_periodo17;G_periodo18;G_periodo19;G_periodo20;G_periodo21;G_periodo22;G_periodo23;G_periodo24;G_periodo25;G_periodo26;G_periodo27;G_periodo28;G_periodo29;G_periodo30;G_periodo31;G_periodo32;G_periodo33;G_periodo34;G_periodo35;G_periodo36;G_periodo37;G_periodo38;G_periodo39;G_periodo40;G_periodo41;G_periodo42;G_periodo43;G_periodo44;G_periodo45;G_periodo46;G_periodo47;G_periodo48
ITAGUAÇU;1;92,0;64,22568056;101679916,0;1.0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;21,47;28,372667;21,47;21,47;21,47;21,47;21,47;21,47;21,47;21,47;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;92,0;21,47;21,47;21,47;21,47;21,47;21,47;21,47;21,47;21,47;92,0
ITAPIRANGA;1;724,6;374,3930548;856072933,3;1.0;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;724,6;9,03;198,5758;183,23083;9,03;724,6;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03;9,03
JATOBA;1;1650,0;982,3981073;2100645870,0;1.0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1650,0;1429,8646;1650,0;1650,0;1136,4088;1457,4358;1650,0;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07;94,07
MARANHAO BAI;1;125,0;72,46686806;177635932,4;1.0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;108,98967;125,0;125,0;125,0;125,0;125,0;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;125,0;125,0;125,0;125,0;125,0;125,0;125,0;125,0;11,11;125,0;125,0;125,0;125,0;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11;11,11
MIRADOR;1;80,0;58,72611651;116152423,4;1.0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;9,23;72,454086;9,23;9,23;9,23;9,23;9,23;9,23;9,23;9,23;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;80,0;9,23;80,0;9,23;80,0;80,0;57,179507;9,23;9,23;80,0;9,23
P GALEANO;1;81,0;56,15881019;94302762,1;1.0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;81,0;81,0;81,0;81,0;81,0;81,0;81,0;81,0;54,542889;25,48;81,0;81,0;81,0;81,0;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48;25,48
PARANA;1;90,0;45,73173688;126877965,0;1.0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;11,867228;11,867228;90,0;90,0;90,0;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;90,0;90,0;90,0;90,0;90,0;90,0;90,0;90,0;8,02;8,02;90,0;88,908914;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02;8,02
PORTEIRAS 2;1;86,0;52,14554475;199241144,9;0.0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SANTO ANTÔNIO;1;84,3;45,88727315;89522060,07;1.0;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;84,3;33,049111;2,82;84,3;2,82;84,3;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82;2,82
SAUDADE;1;61,4;36,55446991;84526158,37;1.0;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;61,4;61,4;61,4;61,4;61,4;61,4;61,4;61,4;58,471952;61,4;61,4;61,4;61,4;54,142604;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28;2,28
TABAJARA;1;400,0;244,3388665;571477359,7;1.0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;321,86723;400,0;400,0;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;400,0;400,0;400,0;400,0;400,0;400,0;400,0;400,0;70,798364;400,0;400,0;400,0;400,0;400,0;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78;46,78
ITAOCARA I;1;150,0;93,00125084;171503406,6;1.0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;150,0;74,798309;29,44;150,0;29,44;141,58173;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44;29,44
TELEM BORBA;1;118,0;78,91051235;136925659,6;1.0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;8,67;8,67;8,67;8,67;8,67;8,67;118,0;8,67;8,67;8,67;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;118,0;8,67;8,67;8,67;8,67;100,31459;8,67;8,67;8,67;118,0;8,67
